sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.cellVoltage3 [V],BATTERY.cellVoltage4 [V],BATTERY.cellVoltage5 [V],BATTERY.cellVoltage6 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,SERIAL.battery2,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
6/27/2025,3:27:42.37 AM,0m 0.0s,0.0,-7.2802617936755,112.791942750595,0,0,,12,0,0,0,0,0,0,0,0,0,-12,2,-133,227,,Starting Motors,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.2,-134.7,225.3,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,,,,,,True,,,,,,,,False,False,,,,,,,,,,,,,Idle,,,,,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,Motors starting.; Flight mode changed to Starting Motors.,Compass error.; Compass error. Fly with caution.
6/27/2025,3:27:42.57 AM,0m 0.2s,0.2,-7.2802625334319,112.791943268266,0,0,,12,0,0,0,0,0,0,0,0,0,-12,2,-133,227,,Starting Motors,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.2,-134.6,225.4,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,,,,,,True,,,,,,,,False,False,,,,,,,,,,,,,Idle,,,,,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,,
6/27/2025,3:27:42.77 AM,0m 0.4s,0.4,-7.280262626182,112.791942840228,0,0,,12,0.1,0,0,0,0,0,0,0,0,-12,2,-133,227,,Starting Motors,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.7,225.3,False,False,False,False,False,False,,True,Normal,100,100,1021,1016,1019,1006,2,False,False,False,False,False,0,False,False,False,False,,,,,,True,,,,,,,,False,False,,,,,,,,,,,,,Idle,,,,,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,,
6/27/2025,3:27:42.97 AM,0m 0.6s,0.6,-7.280262929011,112.791942891421,0,0,,12,0.2,0,0,0,0,0,0,0,0,-12,2,-133,227,,Starting Motors,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.7,225.3,False,False,False,False,False,False,,True,Normal,100,100,1020,1017,1017,1006,2,False,False,False,False,False,0,False,False,False,False,,,,,,True,,,,,,,,False,False,,,,,,,,,,,,,Idle,,,,,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,,
6/27/2025,3:27:43.17 AM,0m 0.8s,0.8,-7.2802642789315,112.791943761491,0,0,,12,0.8,0,0,0,0,0,0,0,0,-12,2,-132.9,227.1,,Starting Motors,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.6,225.4,False,False,False,False,False,False,,True,Normal,100,100,1020,1017,1018,1006,2,False,False,False,False,False,0,False,False,False,False,57,,,,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,,,,,,21,,16,5,6345.1,940.02,,Idle,,25,,5,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.2803134598856,112.792006068388,28.8,38.6,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,,9.8,88,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,Data Recorder File Index is 88.; Set Return to Home (RTH) altitude to 100 m (328 ft).; Set maximum flight altitude to 500 m (1640 ft).,
6/27/2025,3:27:43.37 AM,0m 1.0s,1.0,-7.2802641856203,112.79194381683,0,0,,12,0.8,0,0,0,0,0,0,0,0,-12,2,-132.9,227.1,,Starting Motors,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.7,225.3,False,False,False,False,False,False,,True,Normal,100,100,1020,1018,1017,1006,2,False,False,False,False,False,0,False,False,False,False,57,,,,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,,,,,,21,,16,5,6345.1,940.02,,Idle,,25,,5,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.2803134598856,112.792006068388,28.8,38.6,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,,9.8,88,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,,
6/27/2025,3:27:43.57 AM,0m 1.2s,1.2,-7.2802651134556,112.791943811339,0,0,,12,1.2,0,0,0,0,0,0,0,0,-12,2,-132.9,227.1,,Starting Motors,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.7,225.3,False,False,False,False,False,False,,True,Normal,100,100,1021,1017,1018,1006,2,False,False,False,False,False,0,False,False,False,False,57,,,,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,,,,,,21,,16,5,6345.1,940.02,,Idle,,25,,5,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.2803134598856,112.792006068388,28.6,38.6,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,,9.8,88,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,,
6/27/2025,3:27:43.77 AM,0m 1.4s,1.4,-7.2802656847343,112.791943586628,0,0,,12,1.4,0,0,0,0,0,0,0,0,-12,2,-132.9,227.1,,Manual Takeoff,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.6,225.4,False,False,False,False,False,True,,True,Normal,100,100,1020,1017,1017,1006,2,False,False,False,False,False,0,False,False,False,False,57,,,,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,,,,,,21,,16,5,6345.1,940.02,,Idle,,25,,5,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.2803134598856,112.792006068388,28.5,38.6,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,,9.8,88,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,Motors starting.; Flight mode changed to Manual Takeoff.,Compass error.
6/27/2025,3:27:43.97 AM,0m 1.6s,1.6,-7.2802662825749,112.791943870562,0,0,,12,1.6,0,0,0,0,0,0,0,0,-12,2,-132.9,227.1,,Manual Takeoff,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.6,225.4,False,False,False,False,False,True,,True,Normal,100,100,1020,1017,1018,1006,2,False,False,False,False,False,0,False,False,False,False,57,,,,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,,,,,,21,,16,5,6345.1,940.02,,Idle,,25,,5,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.2803134598856,112.792006068388,28.3,38.6,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,,9.8,88,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,,
6/27/2025,3:27:44.17 AM,0m 1.8s,1.8,-7.2802668066069,112.791943917398,0,0,,12,1.8,0,0,0,0,0,0,0,0,-12,2,-132.9,227.1,,Manual Takeoff,Drop Go Home,Takeoff (RC Assisted),21,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.1,-134.6,225.4,False,False,False,False,False,True,,True,Normal,100,100,1020,1018,1017,1006,2,False,False,False,False,False,0,False,False,False,False,57,,,,22.203,True,3.701,3.701,3.701,3.701,3.701,3.701,,False,False,,,,,,21,,16,5,6453.5,956.08,,Idle,,25,,5,,12,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.2803134598856,112.792006068388,28.2,38.6,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,,9.8,88,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,228.2,4.5,232.9,29.972535,11.855782,0,1430,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,DJI Fly,Linux,0.0.1,7906D37D-D6E0-5396-2C2C-DDFB77D62633,37QBJ3G00B020K,3F2TJ1429200MP,3F2TJ1429200MP,37RBHB600B03LB,37WPJ3CAA10285,,,,,,
